z,n,halflife(Seconds)
82,105,15.2
83,105,0.06
84,105,0.0035
62,106,0.353
63,106,0.389
64,106,0.616
65,106,1.24
66,106,3.52
67,106,7.1
68,106,192
69,106,912
70,106,STABLE
71,106,574318.08
72,106,STABLE
73,106,57277044
74,106,5.0176584e+25
75,106,71820
76,106,79344
77,106,3480
78,106,1038
79,106,258
80,106,82.8
81,106,51
82,106,25.5
83,106,0.685
84,106,0.0024500000000000004
85,106,0.0017
63,107,0.197
64,107,0.392
65,107,0.76
66,107,1.43
67,107,3.5
68,107,72
69,107,111.17999999999999
70,107,6879.6
71,107,1704
72,107,STABLE
73,107,29354.4
74,107,10450944
75,107,231120
76,107,46800
77,107,11124
78,107,4254
79,107,642
80,107,114
81,107,71
82,107,39
83,107,6.3
84,107,0.022
85,107,0.088
86,107,0.00115
64,108,0.163
67,108,1.9
69,108,95
70,108,4440
71,108,16524
72,108,STABLE
73,108,STABLE
74,108,STABLE
75,108,6048000
76,108,353445120000000000000
77,108,51840
78,108,7488
79,108,498.00000000000006
80,108,195
81,108,138
82,108,71
83,108,12.4
84,108,0.032200000000000006
85,108,0.028
86,108,0.0007800000000000001
70,109,480
71,109,336
72,109,3662496
73,109,9919065.6
74,109,STABLE
75,109,3061152
76,109,8030880
77,109,59904
78,109,8460
79,109,530.4
80,109,480
81,109,168
82,109,79.80000000000001
83,109,34.6
84,109,0.40700000000000003
85,109,0.28600000000000003
86,109,0.006
70,110,144
71,110,210
72,110,280862640000000
73,110,440639.99999999994
74,110,STABLE
75,110,STABLE
76,110,6.31152e+22
77,110,37800
78,110,881279.9999999999
79,110,1722
80,110,1200
81,110,318
82,110,210
83,110,63
84,110,0.392
85,110,0.309
86,110,0.0044
87,110,0.0006
71,111,120
72,111,3668.3999999999996
73,111,31319.999999999996
74,111,6471360.000000001
75,111,321278.4
76,111,STABLE
77,111,149400
78,111,39204
79,111,2568
80,111,2940
81,111,576
82,111,348
83,111,100
84,111,4.64
85,111,0.377
86,111,0.055
87,111,0.015
71,112,58
72,112,14832
73,112,2970
74,112,STABLE
75,112,1300173120000000000
76,112,STABLE
77,112,1140480
78,112,15452789617119578000
79,112,11448
80,112,17460
81,112,1296
82,112,642
83,112,183
84,112,5.63
85,112,0.388
86,112,0.065
87,112,0.0045000000000000005
71,113,19
72,113,210
73,113,630
74,113,85680
75,113,61214.4
76,113,STABLE
77,113,1017792
78,113,247104
79,113,17784
80,113,13680
81,113,1997.9999999999998
82,113,900
83,113,307.8
84,113,54
85,113,4.47
86,113,0.6
87,113,0.05
88,113,0.008
72,114,156
73,114,283
74,114,6028128
75,114,87120
76,114,STABLE
77,114,STABLE
78,114,STABLE
79,114,63539.99999999999
80,114,14106247200
81,114,4140
82,114,2220
83,114,559.8
84,114,105.6
85,114,6.97
86,114,1.03
87,114,0.063
88,114,0.0038
73,115,19.6
74,115,696
75,115,180
76,115,1296000
77,115,6378566.399999999
78,115,1577880000
79,115,137016
80,115,38448
81,115,6624
82,115,486
83,115,618
84,115,330
85,115,43
86,115,7
87,115,0.364
88,115,0.031
74,116,1800
75,116,588
76,116,STABLE
77,116,STABLE
78,116,STABLE
79,116,16071264
80,116,STABLE
81,116,10188
82,116,8640
83,116,1620
84,116,690
85,116,85
86,116,9.75
87,116,0.55
88,116,0.058
89,116,0.0077
73,117,5.3
75,117,15.2
76,117,107388
77,117,69120
78,117,STABLE
79,117,531878.4
80,117,233855.99999999997
81,117,19080
82,117,5400
83,117,2184
84,117,930
85,117,184
86,117,44
87,117,1.8
88,117,0.215
89,117,0.027
76,118,189345600
77,118,8244
78,118,STABLE
79,118,STABLE
80,118,STABLE
81,118,26712
82,118,77400
83,118,6660
84,118,2676
85,118,444
86,118,74
87,118,3.9
88,118,0.24
89,118,0.027
90,118,0.0031000000000000003
73,119,2.2
75,119,5
76,119,384
77,119,51.9
78,119,71609.40000000001
79,119,232821.21600000001
80,119,STABLE
81,119,93960
82,119,33588
83,119,6156
84,119,2202
85,119,552
86,119,170
87,119,16
88,119,1.4
89,119,0.093
90,119,0.0025
75,120,6
76,120,2094
77,120,348
78,120,STABLE
79,120,270864
80,120,STABLE
81,120,262837.44
82,120,1656774000000
83,120,42336
84,120,12664.8
85,120,1614
86,120,377.4
87,120,14.8
88,120,1.11
89,120,0.091
90,120,0.0157
91,120,0.0038
75,121,3
76,121,93
77,121,9.1
78,121,1830.6000000000001
79,121,2904
80,121,STABLE
81,121,1077459.8399999999
82,121,186948
83,121,40608
84,121,6444
85,121,1830
86,121,555
87,121,58.6
88,121,4.8
89,121,0.34400000000000003
90,121,0.037
91,121,0.005
76,122,125
77,122,6
78,122,45360
79,122,1560
80,122,STABLE
81,122,STABLE
82,122,STABLE
83,122,1288224
84,122,760320.0000000001
85,122,6516
86,122,1456.8000000000002
87,122,50.5
88,122,3.9
89,122,0.21
90,122,0.0317
91,122,0.0053
76,123,5
77,123,43
78,123,150
79,123,28.4
80,123,4027276.8000000003
81,123,119391868.08
82,123,536479200000000
83,123,539395.2000000001
84,123,20880
85,123,5868
86,123,1722
87,123,190.8
88,123,13
89,123,0.895
90,123,0.146
91,123,0.017
92,123,0.0007
76,124,6
77,124,21
78,124,158400
79,124,60
80,124,STABLE
81,124,STABLE
82,124,STABLE
83,124,985228272
84,124,91453924.8
85,124,19512
86,124,8712
87,124,186
88,124,13
89,124,0.738
90,124,0.1
91,124,0.014
92,124,0.0045000000000000005
77,125,11
78,125,22
79,125,38.4
80,125,306
81,125,252.12
82,125,STABLE
83,125,11613196800000
84,125,3913142400
85,125,29160
86,125,52920
87,125,1218
88,125,163.8
89,125,8.2
90,125,1.4
91,125,0.11800000000000001
92,125,0.016
78,126,10.7
79,126,32
80,126,499.20000000000005
81,126,286.2
82,126,STABLE
83,126,6.3430776e+26
84,126,11955859.2
85,126,25977.600000000002
86,126,1434
87,126,34.17
88,126,2.438
89,126,0.17
90,126,0.026000000000000002
91,126,0.0037
92,126,0.00063
93,126,0.00015
79,127,47
80,127,174
81,127,183.18
82,127,11646
83,127,433036.8
84,127,0.516
85,127,0.314
86,127,0.019379999999999998
87,127,0.0055
88,127,0.00168
89,127,0.00035999999999999997
90,127,0.000254
91,127,0.00010899999999999999
92,127,0.000059999999999999995
93,127,0.000024999999999999998
80,128,135
81,128,129.72
82,128,700578720
83,128,128.4
84,128,2.9500000000000003e-7
85,128,1.24e-7
86,128,2.5900000000000003e-7
87,128,8.9e-8
88,128,1.72e-7
89,128,6.900000000000001e-8
90,128,1.21e-7
91,128,5.5e-8
95,128,0.005200000000000001
80,129,6.3
81,129,78
82,129,2169.9
83,129,3633.06
84,129,0.0000037059999999999998
85,129,5.58e-7
86,129,0.0000022999999999999996
87,129,7e-7
88,129,0.00000159
89,129,0.00000102
90,129,0.00000102
91,129,8.9e-7
92,129,6.6e-7
93,129,3.8e-7
80,130,63.7
81,130,79.6
82,130,38260.8
83,130,2736.42
84,130,0.00016347999999999997
85,130,0.000037
86,130,0.000029
87,130,0.000022
88,130,0.000025909999999999998
89,130,0.000009499999999999999
90,130,0.000010199999999999999
91,130,0.0000059
92,130,0.0000047
93,130,0.0000021499999999999997
80,131,26.4
81,131,30.9
82,131,612
83,131,1182.6000000000001
84,131,0.001781
85,131,0.0003
86,131,0.00059
87,131,0.0011
88,131,0.009000000000000001
89,131,0.0264
90,131,0.00173
91,131,0.0038900000000000002
92,131,0.000062
93,131,0.000037999999999999995
81,132,23.8
82,132,1623.6
83,132,456
84,132,0.14400000000000002
85,132,0.032600000000000004
86,132,0.03375
87,132,0.022
88,132,0.018000000000000002
89,132,0.052000000000000005
90,132,0.00197
91,132,0.0053
92,132,0.000396
93,132,0.0037
81,133,11
82,133,142
83,133,135
84,133,1.53
85,133,1.28
86,133,3.96
87,133,27.4
88,133,16
89,133,4.9
90,133,0.6
91,133,0.85
92,133,0.061
93,133,0.037
81,134,9.7
82,134,99.4
83,134,98.5
84,134,185.82
85,134,56
86,134,55.6
87,134,288.06
88,134,33.6
89,134,127.2
90,134,1.04
91,134,1.7
92,134,0.267
93,134,0.51
94,134,1.1
95,134,0.9
81,135,5.9
82,135,19.9
83,135,33
84,135,619.8
85,135,222.6
86,135,1542
87,135,852
88,135,988001.28
89,135,10008
90,135,523.2
91,135,108
92,135,66
93,135,61.4
94,135,83
95,135,36
82,136,15
83,136,8.7
85,136,138
86,136,330174.14400000003
87,136,1319.3999999999999
88,136,313744.32
89,136,857001.6000000001
90,136,1841.4
91,136,2298
92,136,546
93,136,240
94,136,107
97,136,21
83,137,9.5
84,137,112.2
85,137,54
86,137,1458
87,137,199.8
88,137,1278720
89,137,105732
90,137,1615127.04
91,137,71280
92,137,3468
93,137,277.8
94,137,516
95,137,78.60000000000001
96,137,23
97,137,19
84,138,145.2
85,138,50
86,138,6840
87,138,240
88,138,50492160000
89,138,687087846
90,138,60325508.16
91,138,133920
92,138,1747872
93,138,2928
94,138,1986
95,138,192
96,138,50
85,139,76.2
86,139,279.6
87,139,49
88,139,2532
89,139,22140
90,139,249541722000
91,139,1503359.9999999998
92,139,362880
93,139,882
94,139,1254
95,139,139.2
96,139,300
97,139,22
98,139,0.8
86,140,444
87,140,148.20000000000002
88,140,181456200
89,140,3762
90,140,2379443040000
91,140,1033164266400
92,140,2174318640
93,140,2172
94,140,31680.000000000004
95,140,618
96,140,408
98,140,0.0211
86,141,20.8
87,141,38
88,141,240
89,141,122
90,141,91872
91,141,113184
92,141,5023622786400
93,141,380160.00000000006
94,141,1518
95,141,216
97,141,144
98,141,28
99,141,6.7
100,141,0.00073
86,142,65
87,142,50.2
88,142,5580
89,142,450
90,142,443965565974341600
91,142,2330640
92,142,7747390800000
93,142,34223040
94,142,90191620.8
95,142,4380
96,142,7920.000000000001
98,142,41.2
99,142,4.3
100,142,0.0008
86,143,12
87,143,19.1
88,143,103.9
89,143,119
90,143,1309.8
91,143,24015.600000000002
92,143,22215738959431200
93,143,4891428000000
94,143,3943296
95,143,5844
96,143,9000
97,143,288
98,143,226.79999999999998
99,143,17.8
100,143,0.231
101,143,0.39
87,144,17.6
88,144,252
89,144,143
90,144,2082844.8
91,144,1464
92,144,739394568000000
93,144,67659494400000
94,144,2767601520
95,144,42840
96,144,2626560
97,144,276
98,144,209.4
99,144,22
100,144,0.0031200000000000004
101,144,0.33
87,145,5.5
88,145,30
89,145,44
90,145,432
91,145,546
92,145,583372.7999999999
93,145,181379.52
94,145,760822178400
95,145,183240
96,145,2833919.9999999995
97,145,420
98,145,636
99,145,37
100,145,5.4
101,145,0.9
87,146,0.9
88,146,30
89,146,62
90,146,2250
91,146,522
92,146,140848830203760000
93,146,203541.12
94,146,207087282720
95,146,13651817760
96,146,14072832
97,146,16560
98,146,1164
99,146,67.2
100,146,1.53
101,146,1.2
89,147,72
90,147,287.4
91,147,138
92,147,1407
93,147,3714
94,147,452188850.40000004
95,147,57672
96,147,920850768
97,147,18072
98,147,2700
99,147,450
100,147,31
101,147,7
102,147,0.0378
90,148,564
91,148,6480
92,148,50760
93,148,834
94,148,11834100000000
95,148,231790572000
96,148,571571251.1999999
97,148,428544
98,148,128520.00000000001
99,148,273
100,148,34.5
101,148,25.6
102,148,0.000004599999999999999
103,148,0.024399999999999998
93,149,132
94,149,17838
95,149,36072
96,149,260192412000
97,149,155520
98,149,11196
99,149,1440
100,149,96
101,149,53.4
102,149,0.8
103,149,0.35
104,149,0.0103
92,150,1008
93,150,111
94,150,2565632880000000
95,150,7369.200000000001
96,150,150119503200
97,150,43549488000
98,150,28814400
99,150,6132
100,150,1854
101,150,256.2
102,150,2.45
103,150,0.65
104,150,0.0000228
105,150,0.054
93,151,137.4
94,151,37944
95,151,2340
96,151,492298560000000
97,151,284018400
98,151,11067250320
99,151,30600
100,151,19080
101,151,138
102,151,96.60000000000001
103,151,11.9
104,151,1.67
105,151,1.9
94,152,936576
95,152,1380
96,152,10996908429600
97,152,28270080
98,152,412773408
99,152,118800
100,152,91368
101,152,387
102,152,51.2
103,152,31.1
104,152,0.0067599999999999995
105,152,2.3
106,152,0.0027
94,153,196128
96,153,3849.0000000000005
97,153,11563.2
98,153,28338724800
99,153,40754880
100,153,259200
101,153,600
102,153,211.2
103,153,27.9
104,153,4.5
105,153,2.08
106,153,0.4
107,153,0.035
96,154,261928080000
97,154,3360
98,154,83532967.19999999
99,154,1768262.4000000001
100,154,11664
101,154,1620
102,154,2.93
103,154,5.9
104,154,0.009810000000000001
105,154,0.51
106,154,0.00483
107,154,0.0117
96,155,1008
97,155,108
98,155,1536192
99,155,23820480
100,155,72252
101,155,4662
102,155,24.5
103,155,3.86
104,155,2.5
105,155,1.51
106,155,0.183
107,155,0.088
108,155,0.00074
97,156,600
98,156,5227200
99,156,3438719.9999999995
100,156,9426
101,156,19872
102,156,0.00123
103,156,6.22
104,156,0.0217
105,156,4.1
106,156,0.0114
108,156,0.00063
98,157,5100
99,157,1524
100,157,8683200
101,157,4451328
102,157,3480
103,157,180
104,157,70
105,157,34.4
106,157,0.9
107,157,0.99
108,157,0.0019
109,157,0.0021000000000000003
110,157,0.000003
98,158,738
99,158,665280
100,158,0.00037
101,158,5796
102,158,0.107
103,158,2520
104,158,0.047
105,158,27
106,158,0.06
107,158,0.94
108,158,0.0029700000000000004
100,159,1.5
101,159,2747520
103,159,14400
104,159,817.8000000000001
106,159,16
107,159,10
108,159,0.053
109,159,0.021
110,159,0.00017999999999999998
102,160,0.005
106,160,0.34
107,160,16
108,160,0.4
110,160,0.00019
103,161,17640
104,161,60
105,161,1440
106,161,84
108,161,13
109,161,0.48
110,161,0.0016
111,161,0.0038
105,162,4740
108,162,7.6
103,163,39600
104,163,4680
105,163,95040
106,163,127.8
107,163,60
110,163,0.00018999999999999998
111,163,0.012
107,164,1.5
105,165,54000
106,165,96
107,165,9.4
108,165,0.51
109,165,0.44
112,165,0.00061
113,165,1.4
109,166,0.02
107,167,44
108,167,0.2
109,167,0.62
110,167,0.0035
111,167,0.004200000000000001
109,168,0.0039
111,168,0.09
108,169,0.003
109,169,4.5
110,169,0.216
111,169,3.87
112,169,0.18
113,169,0.073
110,170,0.00035999999999999997
111,170,11
112,170,0.00098
113,170,0.07
114,170,0.0025
107,171,1140
110,171,12
111,171,100
112,171,4.6
113,171,0.82
114,171,0.1
110,172,66
112,172,0.121
113,172,2.1
114,172,0.121
115,172,0.037
112,173,33
113,173,9.5
114,173,0.4
115,173,0.199
112,174,660
114,174,0.64
115,174,0.277
116,174,0.0083
114,175,2.4
115,175,0.65
116,175,0.019
114,176,19
116,176,0.0128
117,176,0.021
118,176,0.00058
113,177,2
116,177,0.095
117,177,0.051000000000000004
